semaforo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento,Unnamed: 8,status
344,Av. Cruz Cabugá,Beco do Tramways,SANTO AMARO,-8.043294,-34.873933,E/Git,Veicular,1.0,funcionando
345,Av. 17 de Agosto,Rua Lemos Torres,CASA FORTE,-8.036480,-34.91391,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
346,Av. 17 de Agosto,Rua Leonardo Cavalcanti,CASA FORTE,-8.037138,-34.914591,E/Git,Veicular,1.0,funcionando
347,Rua Cônego Barata,Em frente ao Hospital Ulisses Pernambucano,TAMARINEIRA,-8.032199,-34.902509,E/Git,Ocasional/Ped.,1.0,funcionando
348,Rua Carlos Gomes,Rua Gomes Taborda,PRADO,-8.059004,-34.911957,E/Git,Veicular,1.0,funcionando
349,Av. Gov. Agamenon Magalhães,Em frente ao Real Hosp. Português (Principal),PAISSANDU,-8.063700,-34.897595,E/Git,Ocasional/Ped.,1.0,funcionando
350,Av. Gov. Agamenon Magalhães,Em frente ao Real Hosp. Português (local),PAISSANDU,-8.063725,-34.897695,E/Git,Ocasional/Ped.,1.0,funcionando
351,Av. Dois Rios,Rua Rio Xingú,DOIS RIOS,-8.117766,-34.941927,E/Git,Veicular,1.0,funcionando
352,Rua Imperial,Rua Cabo Eutrópio,CABANGA,-8.077527,-34.899322,E,Veic.C/Ped.Paral.,1.0,funcionando
353,Rua José Gonçalves de Medeiros,Estrada dos Remédios,BENFICA,-8.058948,-34.907222,E/Git,Veicular,1.0,funcionando
354,Av. Abdias de Carvalho,Rua Santa Edwirgens,PRADO,-8.062577,-34.911677,E/Git,Veicular,1.0,funcionando
355,Av. Abdias de Carvalho,Rua Tabaiares(Girador do Sport),ILHA DO RETIRO,-8.061118,-34.904854,E/Git,Veicular,1.0,funcionando
356,Av. João de Barros,Av. Visconde de Suassuna,BOA VISTA,-8.050213,-34.889948,E,Veicular,1.0,funcionando
357,Rua Odorico Mendes,Rua Prof. Francisco Trindade,CAMPO GRANDE,-8.035389,-34.880524,E,Veicular,1.0,funcionando
358,Praça Parnamirim,Estrada do Encanamento,CASA FORTE,-8.033040,-34.910404,E/Git,Veicular,1.0,funcionando
359,Rua dos Coelhos,Em frente ao IMIP,COELHOS,-8.066612,-34.889726,E,Ocasional/Ped.,1.0,funcionando
360,Rua Alberto Paiva,Rua Antônio Novaes,GRAÇAS,-8.043870,-34.900388,E/Git,Veicular,1.0,funcionando
361,Rua da Hora ,Rua Amélia(J. L. Silveira),ESPINHEIRO,-8.046217,-34.894335,E/Git,Veicular,1.0,funcionando
362,Rua Regueira Costa,Rua Dr. José Maria,ROSARINHO,-8.035400,-34.89845,E/Git,Veicular,1.0,funcionando
363,Rua das Moças,Rua Constância,ARRUDA,-8.016591,-34.883967,E,Veicular,1.0,funcionando
